ID,Doc ID,Sentence,Sen_ID,Emiten Code,Emiten Name,Label
1261,453,bobot saham indf lebih tinggi icbp lama kenal salah satu saham harga premium ungkap suria rabu ,11,ICBP,Indofood CBP Sukses Makmur Tbk. [S],0
3008,1099,surya citra media  scma turun  level,19,SCMA,Surya Citra Media Tbk.],0
3719,1374,investor asing terus gelar aksi jual saham bank  bbri bank  bbca,4,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
1959,684,jakarta meski alami turun jual tipis semester satu lalu indocement tunggal prakarsa  intp  rasa gusar,3,INTP,Indocement Tunggal Prakasa Tbk. [S],0
2539,903,ebitda inco bahkan anjlok jadi  juta,18,INCO,Vale Indonesia Tbk. [S],0
2862,1040, awal dagang selasa  lima saham jual bersih besar asing bank central asia  bbca  miliar bank rakyat indonesia  bbri  miliar astra international  asi  miliar bank mandiri  bmri  miliar bank negara indonesia  bbni  miliar,12,ASII,Astra International Tbk. [S],0
1476,513,saham nasib nahas adro ptba united tractor  untr indo tambangraya megahtbk itmg waskita beton precast  wsbp adapun lima saham untung naik harga sril elnusa  elsa bank tabung negara  bbtn medco energy medc media nusantara citra  mncn,17,WSBP,Waskita Beton Precast Tbk.,0
2184,766,harga saham bmri bbri hasil hijau bbni bbtn bbca turun dagang senin  kemarin,4,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
2181,760, unilever indonesia  unvr anggota indeks kompas turun ,19,UNVR,Unilever Indonesia Tbk. [S],0
3840,1423,kepala riset kresna sekuritas robertus yanuar hardy kata turun saham lppf sebab sentimen rugi buku atas mataharimall,9,LPPF,Matahari Department Store Tbk. [S],0
1164,416, united tractors  untr anggota indeks kompas turun ,14,UNTR,United Tractors Tbk. [S]	,0
1400,488,saham nahas sril ptba bank tabung negara  bbtn medco energy medc media nusantara citra  mncn tiga saham turun harga adro indo tambangraya megahtbk itmg elnusa  elsa waskita beton precast  wsbp,15,SRIL,Sri Rejeki Isman Tbk.,0
2058,702,saham bbtn dagang awal dagang bawah harga tutup hari belum tepat,63,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,0
2179,760, saham  losers lq baca juga ihsg naik  hingga tutup dagang siang indo tambangraya megah  itmg anggota indeks kompas turun ,17,ITMG,Indo Tambangraya Megah Tbk,0
3352,1252, harga saham bbri turun ,8,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
2046,702,bbri buka dagang jumat lalu bawah harga tutup hari belum harga,34,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
1034,351,saham  losers lq persero  ptpp anggota indeks kompas turun ,15,PTPP,PP (Persero) Tbk. [S],0
68,13,direktur inkp kurniawan yuwono jelas bangun pabrik tunda sedang kaji ulang rencana investasi,5,INKP,Indah Kiat Pulp & Paper,0
1762,623,sedang tiga saham keluar daftar indeks likuid adhi karya  adhi elnusa  elsa waskita beton precast  wsbp,8,WSBP,Waskita Beton Precast Tbk.,0
4083,1498,analis ciptadana sekuritas asia fahressi fahalmesta ungkap laba bersih smgr anjlok lantar lonjak harga pokok jual cost goods sold cogs besar  jadi  triliun paruh pertama ,8,SMGR,Semen Indonesia (Persero) Tbk. [S],0
1933,679,kutip  saham charoen pokphand indonesia  cpin jadi emiten poultry catat turun paling besar  level,9,CPIN,Charoen Pokphand Indonesia Tbk. [S],0
987,340,sisi segmen agribisnis nilai jadi berat kerja indf sisa tahun,18,INDF,Indofood Sukses Makmur Tbk. [S],0
1972,688, corporindo  akra anggota indeks kompas catat kerja kurang baik semester ,4,AKRA,AKR Corporindo Tbk. [S],0
1301,466, kata beberapa pabrik henti produksi  juni smgr,9,SMGR,Semen Indonesia (Persero) Tbk. [S],0
1014,349,jual asi januari hingga juni  catat turun  banding jual periode sama tahun lalu ,7,ASII,Astra International Tbk. [S],0
1888,666,alhasil pek adhi akumulasi turun saham hingga ,7,ADHI,Adhi Karya (Persero) Tbk. [S],0
2839,1028,baca juga tiga bank besar cetak untung gede laba bersih  naik paling kencang sedang emiten gerak sektor tambang indika energy  indy lihat laba usaha sebut turun  jadi  juta padahal belum  juta,8,INDY,Indika Energy Tbk.,0
117,32,direktur avere investama teguh hidayat tambah sesuai saham free float valuasi hmsp memang wajar turun,21,HMSP,HM Sampoerna Tbk.,0
2944,1075,harga saham inkp turun ,20,INKP,Indah Kiat Pulp & Paper,0
1854,645,baca juga bakal depak indeks lq begini gerak saham adhi elsa wsbp sesi sementara saham ciputra development  ctra cenderung lebih volatile,13,WSBP,Waskita Beton Precast Tbk.,0
2865,1040, awal dagang selasa  lima saham jual bersih besar asing bank central asia  bbca  miliar bank rakyat indonesia  bbri  miliar astra international  asi  miliar bank mandiri  bmri  miliar bank negara indonesia  bbni  miliar,12,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
3516,1309,direktur uang ptpp agus purbianto jelas dua tarik milik mayoritas temu titik temu,10,PTPP,PP (Persero) Tbk. [S],0
1695,602,saham jsmr dagang kemarin tutup posisi,17,JSMR,Jasa Marga (Persero) Tbk. [S],0
1655,589,hilang dapat bunga scma jadi akibat dana guna investasi guna laku buyback,18,SCMA,Surya Citra Media Tbk.],0
3497,1307,waskita karya  wskt anggota indeks kompas mulai agresif cari sumber dana,4,WSKT,Waskita Karya (Persero) Tbk. [S],0
4092,1498,oversupply semen batas ekspansi bisnis laku smgr utama ekspansi diri pabrik baru ungkap meilki selasa ,22,SMGR,Semen Indonesia (Persero) Tbk. [S],0
1738,615,saham jual bersih besar asing bank sinarmas  bsim  miliar telekomunikasi indonesia  tlkm  miliar bank negara indonesia  bbni  miliar,20,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
2918,1072,senin  saham bbni bank negara indonesia tutup turun,4,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
3477,1300,saham jual bersih besar asing bank rakyat indonesia  bbri  miliar bank central asia  bbca  miliar united tractors  untr besar  miliar,21,BBCA,Bank Central Asia Tbk.,0
490,122,saham jual bersih besar asing bank central asia  bbca miliar bank negara indonesia  bbni  miliar axiata  excl  miliar,16,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
660,207,saham jual bersih besar asing telekomunikasi indonesia  tlkm  miliar charoen pokphand indonesia  cpin  miliar bukit asam  ptba  miliar,17,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk. [S],0
1616,573,kerja bbni bawah ekspektasi laku pasar kata suria,11,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
