level_0,index,ID,Doc ID,Sentence,Sen_ID,Emiten Code,Emiten Name,Label
0,2458,3592,1341,reccuring income jadi faktor utama selamat kerja pwon semester lanjut hingga akhir tahun,8,INCO,Vale Indonesia Tbk. [S],1
4,2860,4071,1496,presiden direktur kalbe farma  klbf vidjongtius nyata pinjam bank sebut butuh bagi alokasi dana,8,KLBF,Kalbe Farma Tbk. [S],1
7,54,80,15,sementara kondisi zero leverage margin laba bersih intp lebih stabil tatkala harga semen cenderung rendah,22,INTP,Indocement Tunggal Prakasa Tbk. [S],1
8,1099,1692,602,posisi tiga saham sampoerna hmsp buku   asing nila  miliar,14,HMSP,HM Sampoerna Tbk.,1
11,352,518,133,adapun tiga saham naik harga elnusa  elsa bank tabung negara  bbtn waskita beton precast  wsbp,17,ELSA,Elnusa Tbk. [S],1
13,2986,4241,1551,bank negara indonesia  bbni gera harga tahan atas garis bawah bollinger lihat pola tweezer bottom candlestick pattern indikasi ada potensi stimulus beli,31,BBNI,Bank Negara Indonesia (Persero) Tbk.,1
17,173,256,57,antara asi selesai bangun pltu jawa kapasitas x megawatt jepara rampung tahun ,29,ASII,Astra International Tbk. [S],1
18,689,978,340,analis samuel sekuritas indonesia suria dharma nilai segmen bisnis makan jalan indofood  sukses makmur  icbp segmen bogasari jadi topang utama kerja indf sebut sisa tahun,6,ICBP,Indofood CBP Sukses Makmur Tbk. [S],1
19,2607,3771,1386,adapun rasio harga nilai buku  saham pgas  kali,23,PGAS,Perusahaan Gas Negara (Persero) Tbk. [S],1
20,2948,4199,1540,dalam proyek wika gedung jadi pimpin porsi skema kerja sama operasi ,13,WIKA,Wijaya Karya (Persero) Tbk. [S],1
22,48,73,13,serta upaya laku inkp diversifikasi kembang pasar baru afrika timur tengah,19,INKP,Indah Kiat Pulp & Paper,1
25,2340,3421,1287, menara indosat dapat analis  semester - tlkm jadi pimpin pasar fixed broadband catat langgan indihome capai juta,10,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
26,2746,3943,1461,lalu tahun  asi suntik dana jumlah triliun,18,ASII,Astra International Tbk. [S],1
31,96,144,39,salah satu waskita beton precast  wsbp terima bayar turnkey semester - besar  triliun,6,WSBP,Waskita Beton Precast Tbk.,1
35,1559,2322,808,posisi lanjut isi untr elsa wsbp itmg bbtn mncn medc,13,MEDC,Medco Energi Internasional Tbk,1
37,433,623,187, akhir dagang selasa  bursa efek indonesia  catat total nilai transaksi  miliar saham bbca ada urut empat saham nilai transaksi besar hari,20,BBCA,Bank Central Asia Tbk.,1
38,115,166,49,sama emiten kode saham excl sebut percaya oleh kerja uang mentereng,5,EXCL,XL Axiata Tbk.,1
40,1025,1548,556,alhasil laba kotor jsmr naik  jadi  triliun sekaligus baik margin laba kotor emiten pelat merah  jadi ,15,JSMR,Jasa Marga (Persero) Tbk. [S],1
42,2971,4224,1547,medco energi internasional  medc tekad terus turun rasio utang,4,MEDC,Medco Energi Internasional Tbk,1
43,1617,2424,855,jual bersih icbp pantau naik   triliun jadi  triliun,27,ICBP,Indofood CBP Sukses Makmur Tbk. [S],1
44,2558,3717,1372,baca juga  lebih saham bank  bbri asai investor asing,15,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
47,1931,2861,1039,darma henwa  dewa catat naik aset utama terima pinjam bank rakyat indonesia  bbri anggota indeks kompas,4,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
49,555,789,262,selain bbri saham emiten perban bbca anggota indeks kompas andil sokong ihsg,12,BBCA,Bank Central Asia Tbk.,1
52,1005,1525,536,maka pihak rekomendasi asi aces tlkm smgr,11,SMGR,Semen Indonesia (Persero) Tbk. [S],1
54,871,1276,455,rekomendasi investor koleksi saham adhi karya  adhi anggota indeks kompas wijaya karya  wika anggota indeks kompas summarecon agung  smra anggota indeks kompas ciputra development  ctra anggota indeks kompas bank negara indonesia  bbni anggota indeks kompas,22,BBNI,Bank Negara Indonesia (Persero) Tbk.,1
56,1054,1594,563,bank tabung negara bbtn kemarin saham bank tabung negara bbtn tutup hijau,43,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,1
57,317,465,108,akhir lippo karawaci  lpkr target harga tahap   hingga ,35,LPKR,Lippo Karawaci Tbk. [S],1
58,2094,3082,1131,analis panin sekuritas william hartanto nilai naik peringkat tpia - jadi bulan lalu buah sentiment positif gera saham tpia,10,TPIA,Chandra Asri Petrochemical Tbk.,1
59,663,928,325,baca juga saham bbca bbri cetak rekor tanggap analis selain ekspektasi turun suku bunga acu bank indonesia turut pengaruh sentimen positif,13,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
61,2979,4233,1547,dana laku lunas utang sedia  internal escrow account terang manajemen medc,19,MEDC,Medco Energi Internasional Tbk,1
62,2436,3553,1313,sehingga robertus cenderung rekomendasi hold saham ptba target akhir tahun,26,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk. [S],1
65,1563,2333,808,baca juga tiga saham turun rekam bmri bbri bbni bbtn bbca  balik saham justru naik harga adro indo tambangraya megah  itmg,16,ADRO,Adaro Energy Tbk [S],1
67,2368,3460,1292,baca juga trending topic uniqlo tambah gerai wskt revisi target adapun tahun wskt proyeksi dapat arus  masuk besar triliun,13,WSKT,Waskita Karya (Persero) Tbk. [S],1
69,2074,3053,1123,selain indy diri indika digital teknologi  gerak bidang jasa konsultasi manajemen informasi,12,INDY,Indika Energy Tbk.,1
70,1961,2894,1059,dalam lppf cukup peran naik sssg nasional ,11,LPPF,Matahari Department Store Tbk. [S],1
71,2116,3114,1136,pada april  indy bangun fuel storage kariangau kalimantan timur,10,INDY,Indika Energy Tbk.,1
73,2964,4216,1545,kemudian indy tengah bangun fuel storage kalimantan timur lalu kariangau gapura terminal energi kgte usaha mulai siap konstruksi bangun fuel storage kariangau balikpapan kalimantan timur,23,INDY,Indika Energy Tbk.,1
74,2402,3505,1308,baca juga waskita karya wskt rencana rilis rdpt aset dasar  becakayu  investor sebut jelas haris rupa main lokal global,10,WSKT,Waskita Karya (Persero) Tbk. [S],1
80,2782,3981,1479, corporindo  akra sama pelindo  bangun mega proyek java integrated industrial  port estate jiipe gresik jawa timur,4,AKRA,AKR Corporindo Tbk. [S],1
81,2757,3956,1468,untuk saham layak akumulasi esok mino rekomendasi isat map giaa akra wawan rekomendasi akumulasi saham sektor consumer goods hmsp aneka industri asi,22,ASII,Astra International Tbk. [S],1
82,563,800,265,venny kata kuartal - harap kerja icbp catat angka positif,25,ICBP,Indofood CBP Sukses Makmur Tbk. [S],1
83,450,646,195,saham beli bersih besar asing bank mandiri  bmri  miliar bank central asia  bbca  miliar astra international  asi  miliar,18,BBCA,Bank Central Asia Tbk.,1
88,1674,2504,883,bursa efek indonesia  catat total nilai transaksi saham bbca capai  miliar total saham bank transaksi  juta saham,19,BBCA,Bank Central Asia Tbk.,1
92,819,1200,432, saham cpin tutup naik  banding harga kemarin,12,CPIN,Charoen Pokphand Indonesia Tbk. [S],1
94,3127,4426,1656,adapun saham layak akumulasi besok naf rekomendasi aces bbri bsde issp jsmr wege akumulasi beli,23,JSMR,Jasa Marga (Persero) Tbk. [S],1
97,262,370,84,tentu jadi kontribusi signifikan lini jual konten mncn kata hary lapor,29,MNCN,Media Nusantara Citra Tbk. [S],1
99,2918,4162,1529,lucky lihat turun suku bunga beri ruang bbni ekspansi kredit rasio  interest margin  stabil rasio kredit masalah baik,13,BBNI,Bank Negara Indonesia (Persero) Tbk.,1
100,955,1455,511, sekuritas rekomendasi beli saham antm level -   saham,13,ANTM,Aneka Tambang Tbk. [S],1
101,2586,3748,1382,sokong lonjak laba bsde lain ada rugi selisih kurs mata uang asing bersih turun jadi  miliar belum  miliar,16,BSDE,Bumi Serpong Damai Tbk. [S],1
103,2459,3593,1341,bilang pwon andal recurring income proyek,10,INCO,Vale Indonesia Tbk. [S],1
104,2537,3679,1359,analis panin sekuritas william hartanto jelas prospek saham indf icbp tarik saham ,6,INDF,Indofood Sukses Makmur Tbk. [S],1
106,193,279,66,meski naik harga saham tlkm semoncer analis nilai saham emiten pelat merah tarik,12,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
108,2939,4188,1537,wijaya karya catat nilai proyek afrika sebut sumbang total proyek luar negeri wika panjang -,9,WIKA,Wijaya Karya (Persero) Tbk. [S],1
109,3039,4303,1592,baca juga united tractors untr naik pinjam acset indonusa acst jadi triliun sisi acst baru oleh nilai kontrak baru  triliun panjang semester satu,10,UNTR,United Tractors Tbk. [S]	,1
110,4,8,2, mncn target dapat dana hingga  triliun aksi korporasi,11,MNCN,Media Nusantara Citra Tbk. [S],1
112,692,982,340,kontribusi icbp bogasari capai - seperti terus depan ujar suria rabu ,10,ICBP,Indofood CBP Sukses Makmur Tbk. [S],1
121,1986,2929,1073,sementara semester - akra catat laba besar  miliar turun   periode sama tahun belum persero hasil oleh laba besar  triliun,12,AKRA,AKR Corporindo Tbk. [S],1
124,287,416,90, saham layak akumulasi antara aali asi elsa medc wsbp,22,ELSA,Elnusa Tbk. [S],1
126,1899,2825,1022,untuk rekomendasi investor  saham hmsp target harga tahun,32,HMSP,HM Sampoerna Tbk.,1
127,1,2,1,pilih saham smra sril,43,SRIL,Sri Rejeki Isman Tbk.,1
129,2959,4211,1545,indy harap mulai produksi ,14,INDY,Indika Energy Tbk.,1
131,2387,3484,1306,jumlah analis nilai klbf punya prospek lebih besar depan,6,KLBF,Kalbe Farma Tbk. [S],1
132,2420,3528,1311,baca juga simak rekomendasi saham profindo sekuritas dagang selasa  dengan hitung sebut tlkm proyeksi dapat tahun capai rp triliun hingga  triliun,18,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
134,1264,1947,680,baca juga masih  cuan saham ggrm hmsp dasar lapor uang hmsp sebut laba pajak catat  triliun naik  ,23,HMSP,HM Sampoerna Tbk.,1
137,1257,1938,680,kerja sampoerna  hmsp tengah tahun kilau,4,HMSP,HM Sampoerna Tbk.,1
138,2507,3646,1354,pabrik najam rupa pabrik milik wsbp pertama bangun kalimantan,7,WSBP,Waskita Beton Precast Tbk.,1
140,2494,3631,1349,baca juga ponsel ilegal halau identifikasi imei direktur utama axiata  excl anggota indeks kompas dian siswarini dukung langkah rang ponsel ilegal sebut,8,EXCL,XL Axiata Tbk.,1
145,11,23,6,dari target sebut wika hasil raih kontrak baru  triliun hingga akhir april  dari jumlah kontrak proyek perintah triliun sisa swasta luar negeri kata sekretaris usaha wika mahendra vijaya kontan,5,WIKA,Wijaya Karya (Persero) Tbk. [S],1
147,2942,4192,1537,pilih wika konsorsium laksana bangun  tunjuk kontraktor tanah   mampu tunjuk kapasitas daya saing konstruksi stadion skala global,21,WIKA,Wijaya Karya (Persero) Tbk. [S],1
149,299,437,96,bagai rintis wika bangun seksi lebih,8,WIKA,Wijaya Karya (Persero) Tbk. [S],1
151,3079,4353,1626,usaha  negara  pgas gera harga saham uji garis peluang jadi kuat buka lebar,52,PGAS,Perusahaan Gas Negara (Persero) Tbk. [S],1
152,305,445,96,bsde beli,30,BSDE,Bumi Serpong Damai Tbk. [S],1
153,1582,2355,833,harga saham bmri hasil hijau dagang senin  kemarin jalan indeks sektor uang naik tipis ,4,BMRI,Bank Mandiri (Persero) Tbk.,1
154,2078,3057,1123,baca juga united tractors untr target pasu bisnis  batubara sementara adro rambah bisnis listrik  lalu adaro power adaro tirta mandiri,15,UNTR,United Tractors Tbk. [S]	,1
156,351,517,133,adapun tiga saham naik harga elnusa  elsa bank tabung negara  bbtn waskita beton precast  wsbp,17,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,1
159,191,277,66,dasar data bloomberg harga saham telekomunikasi indonesia  tlkm kuat ,6,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
164,1529,2290,797,baca juga  alas saham hmsp balik arah zona hijau samping kuat ihsg dapat sentimen positif   ada rapat bahas suku bunga acu hari besok,13,HMSP,HM Sampoerna Tbk.,1
165,3145,4444,1667,emiten konstruksi ptpp laku penandatangan kontrak bangun bangkit listrik tenaga  pltu nusa tenggara timur sulawesi utara usaha listrik negara ,4,PTPP,PP (Persero) Tbk. [S],1
166,72,104,30,selain meski beri kontribusi signifikan rudy lihat tumbuh dapat ulang signifikan alam sutera realty  asri naik  year year  ciputra development  ctra    kuartal -,43,ASRI,Alam Sutera Reality Tbk. [S],1
168,794,1155,406,saham persentase naik besar lq indah kiat pulp  paper  inkp kuat  aneka tambang  antm  chandra asri petrochemical  tpia ,12,INKP,Indah Kiat Pulp & Paper,1
170,2614,3786,1389,adapun saham ubah harga sril bukit asam  ptba,18,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk. [S],1
171,2212,3233,1200,samping itmg mulai lirik pasuk bisnis rantai nilai energi,18,ITMG,Indo Tambangraya Megah Tbk,1
172,950,1444,509,pada periode sebut inco hasil produksi nikel besar,16,INCO,Vale Indonesia Tbk. [S],1
177,364,530,149,saham beli bersih besar asing telekomunikasi indonesia  tlkm miliar gudang garam  ggrm  miliar bank central asia  bbca  miliar,21,GGRM,Gudang Garam Tbk.,1
180,590,836,277,wsbp terus genjot kerja tahun,19,WSBP,Waskita Beton Precast Tbk.,1
183,158,240,56,dengan total dapat hmsp transaksi afiliasi capai  miliar,24,HMSP,HM Sampoerna Tbk.,1
184,3052,4317,1593,lebih lanjut naf rekomendasi beli saham huni idx lain antm target jangka pendek   saham bbca target harga jangka pendek,19,BBCA,Bank Central Asia Tbk.,1
185,934,1414,504,sehingga rekomendasi  saham bmri,9,BMRI,Bank Mandiri (Persero) Tbk.,1
187,2685,3865,1445,ebit adro laba bersih kuartal  besar  juta  lebih tinggi kira ungkap riset,15,ADRO,Adaro Energy Tbk [S],1
188,1709,2559,910,dukung optimisme baik daya beli masyarakat klbf percaya kerja terus tumbuh jalan tumbuh pasar,12,KLBF,Kalbe Farma Tbk. [S],1
189,3134,4433,1665,jelang akhir kuartal tiga  lippo karawaci  lpkr terus catat kerja positif,4,LPKR,Lippo Karawaci Tbk. [S],1
190,445,639,194,tarik tiga saham emiten poultry sebut cpin jpfa main alami naik saham sama satu  pasar bursa saham indonesia  tutup pukul,5,CPIN,Charoen Pokphand Indonesia Tbk. [S],1
191,123,174,49,hingga kuartal - excl sukses raup laba bersih  miliar naik  ,19,EXCL,XL Axiata Tbk.,1
192,1456,2199,766,sejak awal dagang bbri buka atas harga tutup hari belum tepat,28,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
194,2122,3121,1137,sukarno rekomendasi investor  weakness saham antm inco dkft tunggu koreksi harga,30,ANTM,Aneka Tambang Tbk. [S],1
198,366,532,155,investor kembang operator infrastruktur internet bas singapura princeton digital group  akuisisi milik layan data center axiata  excl anggota indeks kompas,4,EXCL,XL Axiata Tbk.,1
200,952,1452,511,adapun saham bas rekomendasi teknikal saran  beli  sekuritas antara saham aneka tambang  antm cipura development  ctra surya  perkasa  essa,10,ANTM,Aneka Tambang Tbk. [S],1
202,315,463,108,adapun jumlah rekomendasi saham jadi timbang investor akumulasi beli saham aali elsa lpkr,29,LPKR,Lippo Karawaci Tbk. [S],1
205,1499,2254,785,baca juga saham  asi ggrm buru investor asing tengah aksi  sell ihsg telah agribisnis lini bisnis teknologi informasi alami turun laba cukup miliar jadi miliar,23,GGRM,Gudang Garam Tbk.,1
207,979,1491,526,aneka tambang  antm pada dagang senin  tutup level  kuat,16,ANTM,Aneka Tambang Tbk. [S],1
208,3103,4389,1646,presiden direktur klbf vidjongtius nyata kalbe farma sedang buka peluang kerjasama usaha gerak bidang produksi minum sehat,6,KLBF,Kalbe Farma Tbk. [S],1
209,810,1171,420,sementara naf  rekomendasi saham asi cpin bmri elsa imas wege akumulasi beli,26,CPIN,Charoen Pokphand Indonesia Tbk. [S],1
210,2120,3119,1137,baca juga jual emas antam antm tumbuh  semester  sukarno rekomendasi investor mencarmati beberapa saham aneka tambang  antm vale indonesia  inco central omega resources  dkft,28,INCO,Vale Indonesia Tbk. [S],1
212,1824,2741,1001,bagai informasi   jaring excl cakup lebih populasi masyarakat indonesia,11,EXCL,XL Axiata Tbk.,1
215,2577,3736,1381,batal pinjam citigroup besar  juta unit bisnis sawit milik grup salim aku manajemen indofood sukses makmur indf jadi masalah,4,INDF,Indofood Sukses Makmur Tbk. [S],1
219,3119,4414,1652,baca juga anak usaha adhi karya mulai bangun proyek  city bekas,18,ADHI,Adhi Karya (Persero) Tbk. [S],1
221,806,1167,420,william rekomendasi investor cermat saham emiten properti murah bsde asri nilai - bawah,24,ASRI,Alam Sutera Reality Tbk. [S],1
223,3056,4321,1593,  saham eraa target harga   saham ggrm target jangka panjang,24,GGRM,Gudang Garam Tbk.,1
224,745,1071,371,memang saham bsde lebih tarik simpan jangka waktu panjang iring geliat emiten properti ujar,28,BSDE,Bumi Serpong Damai Tbk. [S],1
