ID,Doc ID,Sentence,Sen_ID,Emiten Code,Emiten Name,Label
1,1, rejeki isman  sril smart  smar sekar laut  sklt jasa armada indonesia  ipcm colorpak indonesia  clpi campina  cream industry  camp bagi dividen nilai masing-masing    ,17,SRIL,Sri Rejeki Isman Tbk.,1
2,1,pilih saham smra sril,43,SRIL,Sri Rejeki Isman Tbk.,1
3,1,sril milik porsi ekspor tinggi jual justru untung tengah kondisi ekonomi global  tentu,45,SRIL,Sri Rejeki Isman Tbk.,1
4,2,media nusantara citra  mncn anggota indeks kompas restu pegang saham laku tambah modal  mes efek lebih private placement,4,MNCN,Media Nusantara Citra Tbk. [S],1
8,2, mncn target dapat dana hingga  triliun aksi korporasi,11,MNCN,Media Nusantara Citra Tbk. [S],1
12,3,media nusantara citra  mncn tebar dividen besar  saham tara  miliar,4,MNCN,Media Nusantara Citra Tbk. [S],1
14,3,kemudian sisi lini bisnis fokus iklan digital konten mncn niat naik modal kerja tahun jadi  miliar,10,MNCN,Media Nusantara Citra Tbk. [S],1
15,4,komisaris utama media nusantara citra  mncn hary tanoesoedibjo roadshow bagai negara promosi usaha media,4,MNCN,Media Nusantara Citra Tbk. [S],1
18,5,adhi karya  adhi kantong oleh kontrak baru  triliun hingga  ,4,ADHI,Adhi Karya (Persero) Tbk. [S],1
21,5,tahun  serta ubah adhi bangun prasarana kereta  ringan light rail transit wilayah jabodebek tahap sejak september  nilai kerja besar  triliun,10,ADHI,Adhi Karya (Persero) Tbk. [S],1
22,6,wijaya karya  wika tahun target oleh kontrak baru besar  triliun,4,WIKA,Wijaya Karya (Persero) Tbk. [S],1
23,6,dari target sebut wika hasil raih kontrak baru  triliun hingga akhir april  dari jumlah kontrak proyek perintah triliun sisa swasta luar negeri kata sekretaris usaha wika mahendra vijaya kontan,5,WIKA,Wijaya Karya (Persero) Tbk. [S],1
24,6,mahendra tambah proyek luar negeri wika oleh kontrak besar  miliar salah satu proyek huni subsidi aljazair,8,WIKA,Wijaya Karya (Persero) Tbk. [S],1
25,6,wika beri percaya tangan proyek  unit huni,11,WIKA,Wijaya Karya (Persero) Tbk. [S],1
26,6,selain barak harrach wika percaya bangun,13,WIKA,Wijaya Karya (Persero) Tbk. [S],1
31,6,selain beberapa proyek investasi sektor energi tahan energi bakal kontribusi kontrak wika triliun kuartal -,20,WIKA,Wijaya Karya (Persero) Tbk. [S],1
32,6,panjang tahun  wijaya karya  wika buku kontrak baru besar  triliun,21,WIKA,Wijaya Karya (Persero) Tbk. [S],1
33,6,tahun wika target dapat capai triliun tumbuh banding capai tahun lalu besar  triliun,24,WIKA,Wijaya Karya (Persero) Tbk. [S],1
34,6,sampai kuartal  wika oleh dapat besar  triliun,25,WIKA,Wijaya Karya (Persero) Tbk. [S],1
